Year,Month,Smoothed_SSN
1811,9,3.855244755244762
1811,10,4.120279720279727
1811,11,4.396503496503502
1811,12,4.620279720279727
1812,1,4.886713286713292
1812,2,5.24825174825175
1812,3,5.6727272727272755
1812,4,6.0475524475524525
1812,5,6.422377622377629
1812,6,6.876223776223787
1812,7,7.331468531468546
1812,8,7.8846153846154
1812,9,8.637062937062952
1812,10,9.451048951048968
1812,11,10.333566433566453
1812,12,11.446853146853169
1813,1,12.768531468531492
1813,2,14.193006993007023
1813,3,15.708391608391635
1813,4,17.204195804195827
1813,5,18.713286713286728
1813,6,20.20769230769232
1813,7,21.574125874125873
1813,8,22.938461538461535
1813,9,24.10279720279719
1813,10,24.83916083916081
1813,11,25.28111888111884
1813,12,25.40069930069926
1814,1,25.146153846153798
1814,2,24.666433566433515
1814,3,24.037762237762195
1814,4,23.471328671328635
1814,5,23.27342657342654
1814,6,23.28321678321676
1814,7,23.63286713286712
1814,8,24.51258741258742
1814,9,25.981818181818202
1814,10,28.219580419580453
1814,11,31.008391608391648
1814,12,34.00000000000005
1815,1,37.32797202797208
1815,2,40.87062937062942
1815,3,44.31118881118886
1815,4,47.999300699300754
1815,5,51.95314685314691
1815,6,56.0524475524476
1815,7,60.39370629370632
1815,8,64.77622377622379
1815,9,68.83706293706291
1815,10,72.2461538461538
1815,11,74.93216783216779
1815,12,77.14545454545448
1816,1,78.81678321678314
1816,2,79.61468531468518
1816,3,79.44265734265718
1816,4,79.03426573426557
1816,5,78.8615384615383
1816,6,78.74195804195786
1816,7,78.35314685314667
1816,8,77.4832167832166
1816,9,76.31538461538443
1816,10,75.27062937062918
1816,11,74.63496503496485
1816,12,74.22027972027955
1817,1,73.55174825174808
1817,2,72.83426573426556
1817,3,72.48951048951028
1817,4,72.01608391608372
1817,5,70.61398601398581
1817,6,68.29930069930052
1817,7,65.72237762237742
1817,8,63.1972027972026
1817,9,61.04125874125854
1817,10,59.24755244755226
1817,11,57.599999999999824
1817,12,56.09370629370613
1818,1,54.863636363636196
1818,2,54.16923076923062
1818,3,53.93916083916071
1818,4,53.29510489510476
1818,5,52.081118881118734
1818,6,50.899999999999835
1818,7,49.697902097901945
1818,8,48.30629370629356
1818,9,46.77552447552433
1818,10,45.110489510489366
